1960,4429634
1961,4461005
1962,4491443
1963,4523309
1964,4548543
1965,4563732
1966,4580869
1967,4605744
1968,4626469
1969,4623785
1970,4606307
1971,4612124
1972,4639657
1973,4666081
1974,4690574
1975,4711440
1976,4725664
1977,4738902
1978,4752528
1979,4764690
1980,4779535
1981,4799964
1982,4826933
1983,4855787
1984,4881803
1985,4902206
1986,4918154
1987,4932123
1988,4946481
1989,4964371
1990,4986431
1991,5013740
1992,5041992
1993,5066447
1994,5088333
1995,5107790
1996,5124573
1997,5139835
1998,5153498
1999,5165474
2000,5176209
2001,5188008
2002,5200598
2003,5213014
2004,5228172
2005,5246096
2006,5266268
2007,5288720
2008,5313399
2009,5338871
2010,5363352
2011,5388272
2012,5413971
2013,5438972
2014,5461512
2015,5479531
2016,5495096
